# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
1.040000000000000000e+02 1.805792723869672003e-02 9.946874999999999467e-01 7.069250962138176053e-01 8.449999999999999734e-01 8.249999999999999556e-01 9.499999999999999556e-01 8.399999999999999689e-01 7.650000000000000133e-01
1.050000000000000000e+02 2.524115163658280023e-02 9.912499999999999645e-01 7.007810062170028997e-01 8.299999999999999600e-01 8.249999999999999556e-01 9.649999999999999689e-01 6.750000000000000444e-01 8.549999999999999822e-01
1.060000000000000000e+02 3.215067454380914763e-02 9.899999999999999911e-01 8.231486314535141346e-01 8.337499999999999911e-01 8.449999999999999734e-01 9.250000000000000444e-01 7.299999999999999822e-01 8.349999999999999645e-01
1.070000000000000000e+02 3.193647982261609009e-02 9.884374999999999689e-01 7.164475229382515353e-01 8.349999999999999645e-01 8.100000000000000533e-01 9.350000000000000533e-01 7.750000000000000222e-01 8.199999999999999512e-01
1.080000000000000000e+02 2.024699084809981203e-02 9.934374999999999734e-01 7.053394064307212386e-01 8.549999999999999822e-01 8.449999999999999734e-01 9.649999999999999689e-01 7.900000000000000355e-01 8.199999999999999512e-01
1.090000000000000000e+02 2.311559337424114180e-02 9.943750000000000089e-01 8.795107012987136708e-01 8.287499999999999867e-01 8.299999999999999600e-01 9.399999999999999467e-01 7.249999999999999778e-01 8.199999999999999512e-01
1.100000000000000000e+02 3.203894970822147859e-02 9.909375000000000266e-01 6.818187361955643233e-01 8.487500000000000044e-01 8.499999999999999778e-01 9.399999999999999467e-01 8.149999999999999467e-01 7.900000000000000355e-01
1.110000000000000000e+02 1.310728656448191011e-02 9.965625000000000178e-01 7.901694631576537953e-01 8.275000000000000133e-01 8.449999999999999734e-01 9.499999999999999556e-01 6.999999999999999556e-01 8.149999999999999467e-01
1.120000000000000000e+02 1.463026501820422626e-02 9.968749999999999556e-01 6.955160665512084561e-01 8.437500000000000000e-01 8.549999999999999822e-01 9.499999999999999556e-01 7.650000000000000133e-01 8.050000000000000488e-01
1.130000000000000000e+02 1.640008193178800824e-02 9.937500000000000222e-01 6.831811696290970293e-01 8.437500000000000000e-01 8.549999999999999822e-01 9.449999999999999512e-01 7.700000000000000178e-01 8.050000000000000488e-01
1.140000000000000000e+02 1.132931678686873063e-02 9.959375000000000311e-01 7.104240083694457475e-01 8.399999999999999689e-01 8.649999999999999911e-01 9.699999999999999734e-01 7.299999999999999822e-01 7.950000000000000400e-01
1.150000000000000000e+02 7.085578282785717948e-03 9.984374999999999778e-01 7.579736328124999645e-01 8.462499999999999467e-01 8.449999999999999734e-01 9.749999999999999778e-01 7.349999999999999867e-01 8.299999999999999600e-01
1.160000000000000000e+02 1.891561071868636673e-02 9.956249999999999822e-01 7.048181116580962691e-01 8.462499999999999467e-01 8.549999999999999822e-01 9.599999999999999645e-01 7.800000000000000266e-01 7.900000000000000355e-01
1.170000000000000000e+02 1.019050357135711272e-02 9.978124999999999911e-01 7.276536741852760448e-01 8.499999999999999778e-01 8.449999999999999734e-01 9.649999999999999689e-01 7.750000000000000222e-01 8.149999999999999467e-01
1.180000000000000000e+02 3.490190423428430472e-02 9.899999999999999911e-01 7.557121473550796331e-01 8.462499999999999467e-01 8.599999999999999867e-01 9.599999999999999645e-01 7.650000000000000133e-01 8.000000000000000444e-01
1.190000000000000000e+02 1.960385103724547606e-02 9.937500000000000222e-01 6.989778250455855879e-01 8.399999999999999689e-01 8.599999999999999867e-01 9.799999999999999822e-01 7.550000000000000044e-01 7.650000000000000133e-01
1.200000000000000000e+02 1.453692564915400054e-02 9.953125000000000444e-01 7.432068133354187145e-01 8.387499999999999956e-01 8.499999999999999778e-01 9.549999999999999600e-01 7.149999999999999689e-01 8.349999999999999645e-01
1.210000000000000000e+02 1.172436808468774010e-02 9.956249999999999822e-01 7.592942076921462835e-01 8.437500000000000000e-01 8.599999999999999867e-01 9.399999999999999467e-01 7.500000000000000000e-01 8.249999999999999556e-01
1.220000000000000000e+02 2.473023998172720755e-02 9.912499999999999645e-01 6.849367880821227716e-01 8.437500000000000000e-01 8.499999999999999778e-01 9.749999999999999778e-01 7.800000000000000266e-01 7.700000000000000178e-01
1.230000000000000000e+02 1.553250808894517804e-02 9.965625000000000178e-01 8.643626999855041904e-01 8.212500000000000355e-01 9.300000000000000488e-01 9.050000000000000266e-01 6.650000000000000355e-01 7.850000000000000311e-01
1.240000000000000000e+02 1.104420560397557059e-02 9.965625000000000178e-01 7.796990472078323409e-01 8.337499999999999911e-01 8.499999999999999778e-01 9.699999999999999734e-01 7.850000000000000311e-01 7.299999999999999822e-01
1.250000000000000000e+02 9.717290902772219782e-03 9.968749999999999556e-01 6.930970227718353804e-01 8.487500000000000044e-01 8.299999999999999600e-01 9.599999999999999645e-01 7.750000000000000222e-01 8.299999999999999600e-01
